,score
197,0.4
198,0.37
199,0.37
200,2.69
201,0.36
202,0.36
203,0.46
204,0.44
205,1.0
206,0.4
207,0.46
208,0.46
209,0.32
210,1.0
211,0.37
212,0.32
213,0.32
214,1.0
215,2.69
216,2.69
217,0.36
218,0.32
219,1.0
220,0.32
221,0.35
222,1.0
223,2.69
224,0.37
225,0.44
226,2.69
227,0.37
228,0.35
229,0.46
230,0.32
231,2.69
232,0.35
233,2.69
234,2.69
235,0.32
236,0.41
237,2.69
238,0.32
239,0.44
240,0.45
241,0.45
242,1.0
243,0.41
244,0.35
245,0.35
246,2.69
247,0.43
248,0.44
249,0.32
250,2.69
251,1.0
252,0.32
253,0.4
254,0.37
255,2.69
256,2.69
257,2.69
258,0.4
259,0.43
260,0.37
261,0.32
262,0.44
263,2.69
264,0.41
265,0.42
266,0.4
267,0.37
268,2.69
269,0.4
270,0.4
271,2.69
272,2.69
273,0.42
274,0.32
275,0.46
276,0.03
277,1.67
278,1.66
279,0.82
280,1.66
281,0.82
282,0.03
283,0.03
284,0.82
285,0.03
286,1.68
287,1.68
288,1.68
289,1.68
290,0.04
291,0.04
292,0.04
293,0.82
294,0.03
295,0.82
296,1.65
297,0.03
298,0.82
299,1.64
300,1.64
301,0.03
302,0.03
303,1.64
304,1.64
305,0.84
306,1.64
307,0.84
308,0.84
309,0.03
310,0.03
311,0.82
312,1.65
313,0.03
314,1.65
315,1.0
316,1.68
317,1.65
318,1.65
319,0.84
320,0.84
321,0.84
322,0.03
323,0.82
324,1.69
325,0.8
326,0.81
327,0.04
328,0.04
329,0.81
330,0.04
331,1.71
332,1.0
333,1.71
334,1.71
335,1.69
336,0.04
337,0.04
338,0.05
339,0.04
340,1.72
341,0.81
342,1.71
343,1.71
344,1.71
345,0.8
346,0.8
347,1.71
348,1.0
349,1.69
350,0.04
351,0.04
352,0.04
353,0.81
354,0.81
355,0.04
356,0.04
357,0.82
358,1.69
359,0.82
360,0.04
361,1.69
362,1.69
363,1.0
364,1.69
365,1.0
366,0.81
367,1.0
368,0.04
369,0.04
370,0.81
371,0.04
372,0.04
373,0.81
374,1.69
375,1.69
376,0.81
377,0.84
378,0.84
379,0.87
380,1.54
381,0.87
382,0.01
383,0.01
384,0.87
385,0.87
386,1.54
387,1.54
388,1.55
389,0.01
390,0.01
391,0.01
392,0.87
393,1.56
394,0.01
395,1.55
396,1.55
397,0.87
398,1.56
399,0.01
400,0.01
401,1.54
402,0.01
403,1.0
404,1.54
405,1.53
406,0.01
407,0.01
408,0.87
409,0.88
410,0.0
411,0.0
412,1.54
413,1.54
414,0.87
415,1.54
416,0.01
417,1.54
418,0.01
419,0.01
420,0.01
421,0.87
422,0.87
423,0.87
424,1.54
425,0.87
426,0.8
427,1.56
428,0.01
429,0.85
430,0.85
431,0.02
432,0.02
433,0.85
434,0.02
435,1.59
436,1.59
437,0.02
438,1.59
439,1.59
440,0.02
441,0.85
442,0.85
443,0.02
444,0.02
445,1.64
446,0.02
447,1.63
448,1.59
449,1.63
450,0.02
451,1.61
452,1.59
453,1.0
454,0.02
455,1.57
456,0.02
457,0.86
458,1.59
459,0.86
460,0.02
461,1.59
462,0.02
463,0.86
464,0.86
465,1.59
466,1.59
467,0.86
468,0.86
469,0.02
470,1.59
471,0.86
472,0.02
473,1.59
474,0.86
475,0.86
476,1.59
477,0.02
478,0.02
479,0.05
480,0.05
481,0.08
482,1.94
483,1.93
484,0.08
485,0.08
486,1.93
487,1.93
488,1.0
489,1.93
490,0.75
491,0.08
492,0.75
493,0.74
494,0.08
495,1.95
496,1.95
497,0.08
498,1.0
499,0.75
500,1.95
501,1.95
502,0.74
503,0.74
504,0.75
505,0.76
506,0.76
507,0.08
508,1.92
509,0.07
510,0.07
511,1.91
512,0.76
513,0.76
514,1.91
515,1.91
516,0.08
517,0.08
518,1.92
519,0.75
520,0.75
521,1.92
522,1.92
523,0.08
524,0.08
525,1.92
526,1.92
527,0.08
528,0.76
529,0.07
530,1.95
531,0.09
532,0.73
533,0.73
534,0.73
535,0.1
536,0.1
537,0.09
538,2.0
539,0.09
540,0.09
541,2.0
542,0.1
543,0.73
544,2.0
545,2.0
546,0.73
547,0.1
548,0.1
549,0.73
550,0.1
551,0.73
552,0.1
553,0.09
554,0.74
555,2.0
556,0.74
557,1.0
558,1.96
559,1.96
560,0.74
561,0.74
562,1.95
563,1.0
564,0.74
565,0.74
566,0.09
567,1.97
568,1.98
569,0.09
570,0.74
571,2.0
572,2.0
573,2.0
574,0.74
575,0.09
576,0.09
577,0.09
578,0.74
579,1.0
580,0.07
581,1.89
582,1.77
583,0.79
584,0.06
585,1.77
586,1.77
587,0.06
588,1.77
589,0.06
590,0.06
591,1.77
592,0.78
593,0.78
594,0.06
595,0.06
596,1.79
597,1.77
598,0.06
599,0.05
600,0.06
601,0.78
602,0.78
603,0.06
604,1.79
605,1.77
606,0.79
607,1.74
608,1.74
609,0.79
610,1.74
611,1.74
612,0.79
613,0.05
614,1.73
615,0.79
616,0.05
617,0.05
618,0.79
619,1.77
620,1.76
621,0.79
622,0.79
623,0.79
624,1.75
625,0.79
626,0.05
627,0.05
628,0.05
629,1.75
630,0.76
631,1.79
632,0.78
633,0.07
634,0.76
635,0.77
636,0.07
637,1.86
638,0.07
639,1.0
640,1.84
641,1.84
642,0.07
643,1.86
644,0.07
645,1.86
646,0.76
647,1.0
648,0.77
649,0.07
650,1.89
651,0.76
652,1.89
653,1.86
654,0.76
655,0.07
656,1.8
657,0.07
658,1.84
659,0.07
660,1.8
661,0.06
662,0.77
663,0.77
664,0.06
665,0.78
666,0.78
667,1.8
668,1.8
669,0.07
670,0.77
671,0.07
672,0.77
673,0.07
674,1.84
675,0.77
676,1.84
677,1.82
678,0.07
679,0.77
680,0.73
681,0.88
682,0.88
683,1.0
684,1.23
685,1.23
686,1.02
687,1.02
688,1.02
689,1.23
690,1.02
691,1.22
692,1.23
693,1.02
694,1.25
695,1.25
696,1.25
697,1.02
698,1.02
699,1.02
700,1.02
701,1.24
702,1.23
703,1.03
704,1.22
705,1.04
706,1.21
707,1.21
708,1.04
709,1.21
710,1.05
711,1.2
712,1.2
713,1.21
714,1.04
715,1.22
716,1.22
717,1.26
718,1.0
719,1.22
720,1.03
721,1.21
722,1.21
723,1.04
724,1.21
725,1.03
726,1.26
727,0.98
728,1.28
729,0.98
730,0.98
731,1.28
732,1.28
733,0.98
734,1.0
735,1.28
736,1.27
737,0.98
738,1.28
739,1.0
740,0.97
741,0.97
742,0.98
743,0.98
744,1.28
745,0.98
746,1.28
747,1.28
748,1.0
749,1.29
750,1.27
751,1.26
752,1.0
753,1.26
754,1.26
755,1.01
756,1.01
757,1.02
758,1.02
759,1.26
760,1.26
761,1.27
762,0.98
763,0.98
764,1.0
765,1.27
766,0.98
767,0.99
768,1.26
769,1.0
770,1.27
771,1.05
772,1.08
773,1.08
774,1.08
775,1.13
776,1.13
777,1.13
778,1.13
779,1.08
780,1.14
781,1.14
782,1.08
783,1.15
784,1.15
785,1.08
786,1.08
787,1.15
788,1.0
789,1.08
790,1.14
791,1.14
792,1.14
793,1.13
794,1.1
795,1.1
796,1.11
797,1.1
798,1.11
799,1.11
800,1.11
801,1.11
802,1.11
803,1.1
804,1.0
805,1.08
806,1.1
807,1.1
808,1.08
809,1.1
810,1.12
811,1.12
812,1.11
813,1.11
814,1.13
815,1.08
816,1.08
817,1.06
818,1.2
819,1.2
820,1.2
821,1.19
822,1.19
823,1.06
824,1.05
825,1.0
826,1.05
827,1.05
828,1.05
829,1.2
830,1.2
831,1.06
832,1.2
833,1.05
834,1.2
835,1.2
836,1.05
837,1.15
838,1.07
839,1.17
840,1.08
841,1.08
842,1.17
843,1.17
844,1.0
845,1.17
846,1.18
847,1.19
848,1.08
849,1.19
850,1.19
851,1.07
852,1.19
853,1.06
854,1.19
855,1.0
856,1.08
857,1.08
858,1.19
859,1.3
860,1.44
861,1.44
862,1.44
863,1.44
864,0.92
865,0.92
866,0.92
867,1.44
868,0.92
869,1.47
870,1.46
871,1.46
872,1.45
873,1.44
874,1.0
875,0.91
876,0.91
877,0.91
878,0.92
879,1.44
880,0.92
881,1.44
882,1.42
883,0.93
884,1.42
885,1.0
886,1.41
887,0.93
888,1.41
889,1.41
890,1.42
891,0.92
892,0.92
893,1.43
894,1.43
895,1.42
896,0.92
897,0.92
898,0.92
899,1.42
900,1.42
901,0.93
902,0.9
903,0.88
904,0.89
905,1.49
906,1.49
907,1.49
908,0.89
909,1.49
910,0.0
911,0.9
912,1.49
913,0.0
914,1.52
915,0.88
916,1.51
917,1.51
918,1.5
919,0.0
920,1.5
921,0.0
922,0.0
923,0.88
924,0.0
925,0.0
926,0.91
927,0.0
928,0.0
929,1.48
930,1.47
931,0.9
932,1.47
933,1.47
934,0.9
935,1.47
936,0.9
937,0.0
938,0.0
939,0.0
940,1.49
941,0.9
942,0.9
943,1.49
944,1.49
945,0.9
946,1.49
947,0.9
948,1.49
949,0.9
950,0.93
951,1.4
952,1.34
953,1.33
954,0.95
955,0.95
956,1.33
957,0.95
958,0.95
959,1.33
960,1.34
961,1.34
962,1.35
963,1.35
964,0.95
965,0.95
966,1.35
967,1.32
968,1.34
969,0.95
970,0.95
971,1.35
972,1.32
973,1.3
974,0.96
975,0.96
976,0.97
977,0.97
978,1.3
979,1.3
980,1.3
981,1.3
982,0.96
983,1.3
984,1.32
985,1.3
986,0.95
987,0.95
988,0.95
989,0.96
990,0.96
991,1.0
992,1.3
993,1.3
994,1.3
995,1.4
996,0.95
997,0.93
998,0.93
999,1.0
1000,0.93
1001,1.38
1002,1.37
1003,1.37
1004,1.0
1005,1.36
1006,1.36
1007,1.38
1008,0.93
1009,1.0
1010,0.93
1011,0.93
1012,1.39
1013,0.93
1014,1.39
1015,1.39
1016,1.39
1017,0.95
1018,0.93
1019,0.95
1020,1.35
1021,1.35
1022,0.95
1023,1.35
1024,1.35
1025,1.35
1026,0.95
1027,0.95
1028,0.93
1029,0.94
1030,0.94
1031,0.94
1032,1.36
1033,1.35
1034,1.35
1035,1.35
1036,0.94
1037,1.35
1038,0.1
1039,0.26
1040,0.26
1041,0.54
1042,0.54
1043,0.54
1044,0.25
1045,0.25
1046,0.25
1047,0.54
1048,0.26
1049,2.43
1050,0.26
1051,0.26
1052,0.54
1053,0.54
1054,0.54
1055,0.26
1056,0.54
1057,0.54
1058,0.54
1059,0.55
1060,0.25
1061,1.0
1062,2.4
1063,0.25
1064,0.55
1065,0.25
1066,2.4
1067,0.25
1068,1.0
1069,0.25
1070,0.25
1071,0.25
1072,2.42
1073,2.41
1074,0.26
1075,0.54
1076,0.55
1077,0.25
1078,0.55
1079,2.4
1080,0.55
1081,2.43
1082,0.26
1083,0.52
1084,0.52
1085,0.53
1086,0.53
1087,0.53
1088,0.27
1089,2.44
1090,0.27
1091,0.52
1092,0.52
1093,0.52
1094,0.52
1095,0.27
1096,2.49
1097,0.52
1098,2.46
1099,0.27
1100,0.27
1101,0.25
1102,0.27
1103,0.53
1104,2.44
1105,2.44
1106,0.53
1107,0.53
1108,0.53
1109,0.26
1110,0.54
1111,0.26
1112,0.26
1113,0.26
1114,0.27
1115,0.27
1116,0.53
1117,0.53
1118,0.27
1119,0.53
1120,0.53
1121,2.44
1122,0.27
1123,0.27
1124,0.53
1125,0.55
1126,0.55
1127,0.25
1128,0.58
1129,2.33
1130,0.58
1131,0.23
1132,0.23
1133,0.58
1134,2.33
1135,0.58
1136,0.23
1137,0.23
1138,0.23
1139,0.58
1140,0.57
1141,0.57
1142,0.23
1143,0.58
1144,0.58
1145,0.23
1146,2.33
1147,2.33
1148,0.23
1149,0.23
1150,0.23
1151,0.57
1152,2.33
1153,0.59
1154,0.22
1155,0.59
1156,0.59
1157,0.22
1158,0.22
1159,2.32
1160,0.59
1161,0.22
1162,0.22
1163,0.58
1164,0.59
1165,0.23
1166,0.59
1167,0.23
1168,0.59
1169,0.59
1170,0.23
1171,0.23
1172,1.0
1173,0.23
1174,1.0
1175,2.4
1176,0.56
1177,0.24
1178,0.24
1179,0.24
1180,0.24
1181,0.57
1182,1.0
1183,0.56
1184,0.56
1185,0.25
1186,0.25
1187,0.56
1188,0.56
1189,2.37
1190,0.25
1191,0.25
1192,0.25
1193,0.56
1194,0.56
1195,0.25
1196,2.37
1197,0.57
1198,0.57
1199,0.57
1200,0.57
1201,0.57
1202,0.23
1203,0.23
1204,0.23
1205,0.23
1206,0.23
1207,1.0
1208,0.23
1209,0.57
1210,0.57
1211,0.57
1212,0.57
1213,2.33
1214,0.24
1215,2.33
1216,0.24
1217,0.24
1218,0.23
1219,0.24
1220,2.49
1221,0.27
1222,0.3
1223,0.3
1224,0.48
1225,0.3
1226,0.48
1227,0.48
1228,0.48
1229,0.48
1230,0.48
1231,0.3
1232,0.3
1233,0.3
1234,1.0
1235,2.56
1236,0.48
1237,2.55
1238,0.48
1239,2.56
1240,0.49
1241,1.0
1242,0.49
1243,2.53
1244,0.29
1245,0.29
1246,0.29
1247,0.49
1248,0.49
1249,0.29
1250,2.53
1251,0.49
1252,0.3
1253,0.29
1254,0.49
1255,0.48
1256,2.53
1257,1.0
1258,0.49
1259,0.49
1260,2.53
1261,1.0
1262,0.48
1263,0.31
1264,1.0
1265,0.31
1266,2.57
1267,2.57
1268,2.56
1269,0.31
1270,2.58
1271,0.46
1272,2.6
1273,0.47
1274,0.31
1275,0.31
1276,2.56
1277,0.3
1278,0.47
1279,2.56
1280,0.47
1281,0.3
1282,0.47
1283,0.47
1284,0.47
1285,1.0
1286,0.47
1287,0.31
1288,0.31
1289,0.31
1290,0.47
1291,0.3
1292,0.47
1293,1.0
1294,0.31
1295,0.59
1296,0.49
1297,2.53
1298,0.51
1299,0.28
1300,2.52
1301,0.51
1302,0.51
1303,0.51
1304,2.52
1305,2.52
1306,2.52
1307,0.51
1308,0.28
1309,0.5
1310,0.5
1311,0.51
1312,0.51
1313,0.28
1314,0.28
1315,0.28
1316,2.52
1317,0.51
1318,0.51
1319,0.51
1320,0.52
1321,1.0
1322,0.52
1323,2.51
1324,1.0
1325,0.27
1326,0.28
1327,0.51
1328,0.51
1329,0.51
1330,0.27
1331,0.27
1332,0.27
1333,0.51
1334,0.49
1335,0.49
1336,0.29
1337,0.49
1338,0.28
1339,1.0
1340,0.28
1341,1.0
1342,0.28
1343,1.0
1344,2.53
1345,0.49
1346,0.49
1347,0.29
1348,0.49
1349,0.49
1350,0.49
1351,0.49
1352,0.29
1353,0.5
1354,2.53
1355,0.5
1356,0.5
1357,0.5
1358,0.28
1359,0.5
1360,0.28
1361,1.0
1362,0.5
1363,0.5
1364,0.28
1365,0.5
1366,2.53
1367,0.5
1368,0.5
1369,1.0
1370,2.53
1371,1.0
1372,2.52
1373,0.28
1374,1.0
1375,0.1
1376,2.32
1377,0.13
1378,0.68
1379,0.12
1380,0.68
1381,0.12
1382,0.12
1383,1.0
1384,2.11
1385,0.13
1386,0.68
1387,0.68
1388,0.67
1389,0.67
1390,0.13
1391,0.67
1392,0.13
1393,0.13
1394,0.13
1395,0.67
1396,0.68
1397,0.12
1398,0.12
1399,0.68
1400,0.68
1401,0.12
1402,0.12
1403,0.69
1404,0.12
1405,0.69
1406,2.1
1407,0.12
1408,0.12
1409,0.68
1410,0.12
1411,0.68
1412,0.12
1413,0.68
1414,2.11
1415,0.12
1416,2.1
1417,2.1
1418,0.68
1419,2.12
1420,0.67
1421,0.67
1422,0.14
1423,0.14
1424,0.14
1425,1.0
1426,0.14
1427,0.66
1428,0.14
1429,0.66
1430,0.66
1431,1.0
1432,2.16
1433,0.14
1434,0.14
1435,1.0
1436,2.16
1437,0.66
1438,0.66
1439,0.66
1440,0.14
1441,0.66
1442,0.66
1443,0.14
1444,2.15
1445,0.14
1446,0.67
1447,0.13
1448,2.13
1449,0.13
1450,0.13
1451,2.13
1452,0.13
1453,0.67
1454,0.14
1455,2.14
1456,0.66
1457,0.14
1458,0.14
1459,0.14
1460,0.14
1461,0.66
1462,0.14
1463,0.66
1464,0.66
1465,0.66
1466,0.67
1467,2.14
1468,0.12
1469,1.0
1470,0.12
1471,0.1
1472,2.04
1473,0.71
1474,1.0
1475,2.0
1476,0.71
1477,0.1
1478,0.71
1479,0.1
1480,0.1
1481,0.1
1482,0.71
1483,2.05
1484,2.07
1485,0.7
1486,0.7
1487,0.1
1488,0.71
1489,2.06
1490,0.1
1491,0.1
1492,0.7
1493,0.1
1494,0.71
1495,0.1
1496,0.1
1497,0.72
1498,2.0
1499,2.0
1500,0.1
1501,0.72
1502,0.73
1503,0.1
1504,0.72
1505,0.1
1506,0.72
1507,0.1
1508,0.1
1509,0.71
1510,0.1
1511,0.71
1512,0.1
1513,0.71
1514,0.72
1515,0.1
1516,0.11
1517,0.11
1518,2.1
1519,2.09
1520,0.7
1521,0.7
1522,0.11
1523,0.7
1524,0.7
1525,1.0
1526,0.11
1527,0.11
1528,0.11
1529,0.7
1530,0.11
1531,0.12
1532,0.69
1533,0.69
1534,0.12
1535,0.69
1536,0.69
1537,2.08
1538,0.12
1539,0.69
1540,0.11
1541,0.11
1542,1.0
1543,2.08
1544,0.11
1545,0.11
1546,0.11
1547,0.7
1548,0.7
1549,0.7
1550,0.7
1551,0.7
1552,0.11
1553,0.11
1554,0.11
1555,1.0
1556,0.11
1557,0.11
1558,0.7
1559,0.7
1560,0.7
1561,0.7
1562,0.7
1563,0.11
1564,0.11
1565,2.08
1566,2.16
1567,0.19
1568,0.61
1569,0.19
1570,0.19
1571,0.61
1572,1.0
1573,0.19
1574,0.61
1575,0.19
1576,0.2
1577,0.61
1578,0.61
1579,0.2
1580,0.2
1581,0.2
1582,0.2
1583,2.24
1584,0.61
1585,0.2
1586,0.61
1587,0.61
1588,0.2
1589,2.23
1590,0.62
1591,2.2
1592,0.18
1593,0.18
1594,0.62
1595,0.18
1596,0.18
1597,2.21
1598,0.62
1599,0.62
1600,0.18
1601,0.62
1602,0.19
1603,2.22
1604,0.19
1605,0.19
1606,2.22
1607,0.19
1608,0.62
1609,0.62
1610,0.19
1611,0.62
1612,0.61
1613,0.61
1614,0.21
1615,0.21
1616,0.59
1617,0.21
1618,0.21
1619,0.59
1620,0.59
1621,0.59
1622,0.21
1623,2.3
1624,2.31
1625,2.31
1626,0.22
1627,0.22
1628,0.59
1629,0.59
1630,0.22
1631,0.59
1632,0.59
1633,0.22
1634,0.59
1635,0.59
1636,0.61
1637,0.2
1638,0.2
1639,0.2
1640,0.2
1641,1.0
1642,0.6
1643,2.28
1644,2.25
1645,0.6
1646,2.28
1647,0.2
1648,0.6
1649,0.21
1650,0.21
1651,0.2
1652,0.2
1653,0.2
1654,0.6
1655,0.6
1656,0.6
1657,1.0
1658,2.3
1659,0.6
1660,0.22
1661,0.18
1662,0.63
1663,2.18
1664,0.65
1665,0.16
1666,0.65
1667,0.65
1668,2.18
1669,0.16
1670,0.65
1671,0.65
1672,0.16
1673,0.15
1674,2.18
1675,0.64
1676,0.64
1677,2.18
1678,0.64
1679,0.64
1680,2.18
1681,1.0
1682,0.16
1683,0.65
1684,0.16
1685,0.16
1686,0.16
1687,0.16
1688,0.15
1689,1.0
1690,0.14
1691,0.65
1692,2.17
1693,0.14
1694,0.65
1695,0.14
1696,0.65
1697,0.14
1698,0.14
1699,1.0
1700,0.65
1701,0.66
1702,1.0
1703,0.15
1704,0.65
1705,0.65
1706,0.15
1707,0.15
1708,0.65
1709,0.65
1710,0.15
1711,0.15
1712,0.65
1713,0.18
1714,0.16
1715,0.18
1716,0.63
1717,0.63
1718,0.63
1719,2.2
1720,0.18
1721,0.18
1722,2.2
1723,0.17
1724,0.63
1725,2.2
1726,0.18
1727,0.63
1728,0.18
1729,0.63
1730,0.63
1731,0.18
1732,0.18
1733,0.63
1734,1.0
1735,0.18
1736,0.17
1737,0.63
1738,0.64
1739,0.64
1740,0.64
1741,0.64
1742,0.17
1743,0.64
1744,0.17
1745,0.17
1746,0.17
1747,0.17
1748,0.17
1749,0.63
1750,2.2
1751,0.17
1752,0.63
1753,0.63
1754,1.0
1755,0.63
1756,0.17
1757,0.17
1758,0.17
1759,2.2
1760,1.0
1761,1.0
1762,1.0
1763,1.0
1764,1.0
1765,1.0
1766,1.0
1767,1.0
1768,1.0
1769,1.0
1770,1.0
1771,1.0
1772,1.0
1773,1.0
1774,1.0
1775,1.0
1776,1.0
1777,1.0
1778,1.0
1779,1.0
1780,1.0
1781,1.0
1782,1.0
1783,1.0
1784,1.0
1785,1.0
1786,1.0
1787,1.0
1788,1.0
1789,1.0
1790,1.0
1791,1.0
1792,1.0
1793,1.0
1794,1.0
1795,1.0
1796,1.0
1797,1.0
1798,1.0
1799,1.0
1800,1.0
1801,1.0
1802,1.0
1803,1.0
1804,1.0
1805,1.0
1806,1.0
1807,1.0
1808,1.0
1809,1.0
1810,1.0
1811,1.0
1812,1.0
1813,1.0
1814,1.0
1815,1.0
1816,1.0
1817,1.0
1818,1.0
1819,1.0
1820,1.0
1821,1.0
1822,1.0
1823,1.0
1824,1.0
1825,1.0
1826,1.0
1827,1.0
1828,1.0
1829,1.0
1830,1.0
1831,1.0
1832,1.0
1833,1.0
1834,1.0
1835,1.0
1836,1.0
1837,1.0
1838,1.0
1839,1.0
1840,1.0
1841,1.0
1842,1.0
1843,1.0
1844,1.0
1845,1.0
1846,1.0
1847,1.0
1848,1.0
1849,1.0
1850,1.0
1851,1.0
1852,1.0
1853,1.0
1854,1.0
1855,1.0
1856,1.0
1857,1.0
1858,1.0
1859,1.0
1860,1.0
1861,1.0
1862,1.0
1863,1.0
1864,1.0
1865,1.0
1866,1.0
1867,1.0
1868,1.0
1869,1.0
1870,1.0
1871,1.0
1872,1.0
1873,1.0
1874,1.0
1875,1.0
1876,1.0
1877,1.0
1878,1.0
1879,1.0
1880,1.0
1881,1.0
1882,1.0
1883,1.0
1884,1.0
1885,1.0
1886,1.0
1887,1.0
1888,1.0
1889,1.0
1890,1.0
1891,1.0
1892,1.0
1893,1.0
1894,1.0
1895,1.0
1896,1.0
1897,1.0
1898,1.0
1899,1.0
1900,1.0
1901,1.0
1902,1.0
1903,1.0
1904,1.0
1905,1.0
1906,1.0
1907,1.0
1908,1.0
1909,1.0
1910,1.0
1911,1.0
1912,1.0
1913,1.0
1914,1.0
1915,1.0
1916,1.0
1917,1.0
1918,1.0
1919,1.0
1920,1.0
1921,1.0
1922,1.0
1923,1.0
1924,1.0
1925,1.0
1926,1.0
1927,1.0
1928,1.0
1929,1.0
1930,1.0
1931,1.0
1932,1.0
1933,1.0
1934,1.0
1935,1.0
1936,1.0
1937,1.0
1938,1.0
1939,1.0
1940,1.0
1941,1.0
1942,1.0
1943,1.0
1944,1.0
1945,1.0
1946,1.0
1947,1.0
1948,1.0
1949,1.0
1950,1.0
1951,1.0
1952,1.0
1953,1.0
1954,1.0
1955,1.0
1956,1.0
1957,1.0
1958,1.0
1959,1.0
1960,1.0
1961,1.0
1962,1.0
1963,1.0
1964,1.0
1965,1.0
1966,1.0
1967,1.0
1968,1.0
1969,1.0
1970,1.0
1971,1.0
1972,1.0
1973,1.0
1974,1.0
1975,1.0
1976,1.0
1977,1.0
1978,1.0
1979,1.0
1980,1.0
1981,1.0
1982,1.0
1983,1.0
1984,1.0
1985,1.0
1986,1.0
1987,1.0
1988,1.0
1989,1.0
1990,1.0
1991,1.0
1992,1.0
1993,1.0
1994,1.0
1995,1.0
1996,1.0
1997,1.0
1998,1.0
1999,1.0
2000,1.0
2001,1.0
2002,1.0
2003,1.0
2004,1.0
2005,1.0
2006,1.0
2007,1.0
2008,1.0
2009,1.0
2010,1.0
2011,1.0
2012,1.0
2013,1.0
2014,1.0
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,1.0
2032,1.0
2033,1.0
2034,1.0
2035,1.0
2036,1.0
2037,1.0
2038,1.0
2039,1.0
2040,1.0
2041,1.0
2042,1.0
2043,1.0
2044,1.0
2045,1.0
2046,1.0
2047,1.0
2048,1.0
2049,1.0
2050,1.0
2051,1.0
2052,1.0
2053,1.0
2054,1.0
2055,1.0
2056,1.0
2057,1.0
2058,1.0
2059,1.0
2060,1.0
2061,1.0
2062,1.0
2063,1.0
2064,1.0
2065,1.0
2066,1.0
2067,1.0
2068,1.0
2069,1.0
2070,1.0
2071,1.0
2072,1.0
2073,1.0
2074,1.0
2075,1.0
2076,1.0
2077,1.0
2078,1.0
2079,1.0
2080,1.0
2081,1.0
2082,1.0
2083,1.0
2084,1.0
2085,1.0
2086,1.0
2087,1.0
2088,1.0
2089,1.0
2090,1.0
2091,1.0
2092,1.0
2093,1.0
2094,1.0
2095,1.0
2096,1.0
2097,1.0
2098,1.0
2099,1.0
2100,1.0
2101,1.0
2102,1.0
2103,1.0
2104,1.0
2105,1.0
2106,1.0
2107,1.0
2108,1.0
2109,1.0
2110,1.0
2111,1.0
2112,1.0
2113,1.0
2114,1.0
2115,1.0
2116,1.0
2117,1.0
2118,1.0
2119,1.0
2120,1.0
2121,1.0
2122,1.0
2123,1.0
2124,1.0
2125,1.0
2126,1.0
2127,1.0
2128,1.0
2129,1.0
2130,1.0
2131,1.0
2132,1.0
2133,1.0
2134,1.0
2135,1.0
2136,1.0
2137,1.0
2138,1.0
2139,1.0
2140,1.0
2141,1.0
