category,word,score,Compound,Subjectivity,Stanza,Flair
anger,mutter,1.0,0.0,0.0,1.0,NEGATIVE
anger,mutiny,1.0,0.0,0.0,1.0,NEGATIVE
anger,mutilation,1.0,0.0,0.0,0.0,NEGATIVE
anger,catastrophe,1.0,-0.6597,0.0,0.0,NEGATIVE
anger,myopia,1.0,0.0,0.0,1.0,NEGATIVE
anger,torment,1.0,0.0,0.0,0.0,NEGATIVE
anger,torpedo,1.0,0.0,0.0,1.0,NEGATIVE
anger,carnage,1.0,0.0,0.0,1.0,NEGATIVE
anger,cash,1.0,0.0,0.0,1.0,POSITIVE
anger,touchy,1.0,0.0,0.0,1.0,POSITIVE
anger,tortious,1.0,0.0,0.0,0.0,NEGATIVE
anger,nasty,1.0,-0.5574,1.0,0.0,NEGATIVE
anger,torture,1.0,-0.5994,0.0,0.0,NEGATIVE
anger,muff,1.0,0.0,0.0,1.0,NEGATIVE
anger,celebrity,1.0,0.0,0.0,1.0,POSITIVE
anger,mule,1.0,0.0,0.0,1.0,NEGATIVE
anger,mug,1.0,0.0,0.0,1.0,NEGATIVE
anger,mournful,1.0,-0.3818,0.0,0.0,NEGATIVE
anger,traumatic,1.0,-0.5719,0.0,0.0,NEGATIVE
anger,censor,1.0,-0.4588,0.0,1.0,NEGATIVE
anger,musical,1.0,0.0,0.0,1.0,POSITIVE
anger,traitor,1.0,0.0,0.0,1.0,NEGATIVE
anger,caution,1.0,0.0,0.0,1.0,NEGATIVE
anger,murderous,1.0,-0.6369,0.0,0.0,NEGATIVE
anger,murderer,1.0,-0.6808,0.0,1.0,NEGATIVE
anger,murder,1.0,-0.6908,0.0,1.0,NEGATIVE
anger,menace,1.0,-0.4939,0.0,0.0,NEGATIVE
anger,menacing,1.0,0.0,1.0,0.0,NEGATIVE
anger,unequal,1.0,-0.34,0.0,1.0,NEGATIVE
anger,unfair,1.0,-0.4767,1.0,0.0,NEGATIVE
anger,unfairness,1.0,0.0,0.0,0.0,NEGATIVE
anger,melodrama,1.0,0.0,0.2,1.0,NEGATIVE
anger,underpaid,1.0,0.0,0.0,0.0,NEGATIVE
anger,undesirable,1.0,-0.4404,0.0,1.0,NEGATIVE
anger,coerce,1.0,0.0,0.0,1.0,NEGATIVE
anger,coercion,1.0,0.0,0.0,1.0,NEGATIVE
anger,unlawful,1.0,0.0,0.0,1.0,NEGATIVE
anger,unjust,1.0,-0.5106,0.0,0.0,NEGATIVE
anger,unjustifiable,1.0,0.0,0.0,0.0,NEGATIVE
anger,unkind,1.0,-0.3818,0.0,0.0,NEGATIVE
anger,ungrateful,1.0,-0.4588,0.0,0.0,NEGATIVE
anger,unhappy,1.0,-0.4215,0.9,0.0,NEGATIVE
anger,unforgiving,1.0,0.0,0.0,0.0,NEGATIVE
anger,unfriendly,1.0,-0.3612,0.0,0.0,NEGATIVE
anger,unfulfilled,1.0,-0.4215,0.0,0.0,NEGATIVE
anger,meddle,1.0,0.0,0.0,1.0,POSITIVE
anger,tyrant,1.0,0.0,0.0,1.0,NEGATIVE
anger,misbehavior,1.0,0.0,0.0,1.0,NEGATIVE
anger,tyrannical,1.0,0.0,0.0,0.0,NEGATIVE
anger,misconception,1.0,0.0,0.0,1.0,NEGATIVE
anger,ulcer,1.0,0.0,0.0,0.0,NEGATIVE
anger,ultimatum,1.0,0.0,0.0,1.0,NEGATIVE
anger,miserable,1.0,-0.4939,1.0,0.0,NEGATIVE
anger,misstatement,1.0,0.0,0.0,1.0,NEGATIVE
anger,tussle,1.0,0.0,0.0,1.0,NEGATIVE
anger,turbulence,1.0,0.0,0.0,1.0,NEGATIVE
anger,misunderstanding,1.0,-0.4215,0.0,1.0,NEGATIVE
anger,turmoil,1.0,-0.3612,0.0,0.0,NEGATIVE
anger,mistress,1.0,0.0,0.0,1.0,POSITIVE
anger,misrepresented,1.0,0.0,0.0,1.0,NEGATIVE
anger,misery,1.0,-0.5719,0.0,0.0,NEGATIVE
anger,mislead,1.0,0.0,0.0,0.0,NEGATIVE
anger,misleading,1.0,-0.4019,0.0,0.0,NEGATIVE
anger,misplace,1.0,0.0,0.0,1.0,NEGATIVE
anger,choke,1.0,-0.5423,0.0,1.0,NEGATIVE
anger,clash,1.0,0.0,0.0,1.0,NEGATIVE
anger,clashing,1.0,0.0,0.0,1.0,NEGATIVE
anger,uncertain,1.0,-0.296,0.0,0.0,NEGATIVE
anger,clamor,1.0,0.0,0.0,1.0,POSITIVE
anger,claw,1.0,0.0,0.0,1.0,POSITIVE
anger,uncontrollable,1.0,-0.3612,0.0,0.0,NEGATIVE
anger,uncaring,1.0,0.0,0.0,0.0,NEGATIVE
anger,unattainable,1.0,0.0,0.0,2.0,NEGATIVE
anger,mighty,1.0,0.0,0.9,1.0,POSITIVE
anger,unbridled,1.0,0.0,0.0,1.0,NEGATIVE
anger,claimant,1.0,0.0,0.0,1.0,POSITIVE
anger,militia,1.0,0.0,0.0,1.0,NEGATIVE
anger,talons,1.0,0.0,0.0,1.0,POSITIVE
anger,brawl,1.0,0.0,0.0,1.0,NEGATIVE
anger,brazen,1.0,0.0,0.0,1.0,NEGATIVE
anger,opposed,1.0,0.0,0.0,1.0,NEGATIVE
anger,opponent,1.0,0.0,0.0,1.0,NEGATIVE
anger,oppressor,1.0,0.0,0.0,1.0,POSITIVE
anger,oppressive,1.0,-0.4019,0.0,0.0,NEGATIVE
anger,oppression,1.0,0.0,0.0,1.0,NEGATIVE
anger,oppress,1.0,0.0,0.0,1.0,NEGATIVE
anger,opposition,1.0,0.0,0.0,1.0,NEGATIVE
anger,boxing,1.0,0.0,0.0,1.0,POSITIVE
anger,ordeal,1.0,0.0,0.0,1.0,NEGATIVE
anger,orchestra,1.0,0.0,0.0,1.0,POSITIVE
anger,orc,1.0,0.0,0.0,1.0,POSITIVE
anger,tackle,1.0,0.0,0.0,1.0,POSITIVE
anger,opium,1.0,0.0,0.0,1.0,NEGATIVE
anger,tease,1.0,-0.3182,0.0,1.0,NEGATIVE
anger,teasing,1.0,-0.0772,0.0,1.0,NEGATIVE
anger,broken,1.0,-0.4767,0.4,1.0,NEGATIVE
anger,tempest,1.0,0.0,0.0,1.0,POSITIVE
anger,brute,1.0,0.0,0.0,1.0,POSITIVE
anger,brunt,1.0,0.0,0.0,0.0,POSITIVE
anger,brutal,1.0,-0.6249,1.0,1.0,NEGATIVE
anger,brutality,1.0,-0.6124,0.0,1.0,NEGATIVE
anger,opera,1.0,0.0,0.0,1.0,POSITIVE
anger,opinionated,1.0,0.0,0.0,1.0,POSITIVE
anger,tariff,1.0,0.0,0.0,1.0,POSITIVE
anger,onerous,1.0,0.0,0.0,1.0,NEGATIVE
anger,broil,1.0,0.0,0.0,1.0,NEGATIVE
anger,brimstone,1.0,0.0,0.0,1.0,POSITIVE
anger,taunt,1.0,0.0,0.0,1.0,NEGATIVE
anger,bomb,1.0,-0.4939,0.0,0.0,NEGATIVE
anger,bombard,1.0,0.0,0.0,1.0,NEGATIVE
anger,boisterous,1.0,0.0,0.0,1.0,POSITIVE
anger,bogus,1.0,0.0,0.0,0.0,NEGATIVE
anger,owing,1.0,0.0,0.0,1.0,POSITIVE
anger,overpriced,1.0,0.0,0.0,0.0,NEGATIVE
anger,suspicious,1.0,-0.3612,0.0,0.0,NEGATIVE
anger,overpowering,1.0,0.0,0.0,0.0,NEGATIVE
anger,bombardment,1.0,0.0,0.0,1.0,NEGATIVE
anger,surcharge,1.0,0.0,0.0,1.0,POSITIVE
anger,supremacy,1.0,0.0516,0.0,1.0,POSITIVE
anger,painful,1.0,-0.4404,0.9,0.0,NEGATIVE
anger,suppress,1.0,0.0,0.0,1.0,NEGATIVE
anger,suppression,1.0,0.0,0.0,1.0,NEGATIVE
anger,surly,1.0,0.0,0.0,1.0,POSITIVE
anger,swastika,1.0,0.0,0.0,1.0,NEGATIVE
anger,outcry,1.0,-0.5106,0.0,1.0,NEGATIVE
anger,bothering,1.0,-0.3818,0.0,1.0,NEGATIVE
anger,outburst,1.0,0.0,0.0,1.0,NEGATIVE
anger,bout,1.0,0.0,0.0,1.0,POSITIVE
anger,oust,1.0,0.0,0.0,1.0,NEGATIVE
anger,overbearing,1.0,0.0,0.0,0.0,NEGATIVE
anger,outrage,1.0,-0.5106,0.0,1.0,NEGATIVE
anger,offensive,1.0,-0.4588,0.0,0.0,NEGATIVE
anger,offense,1.0,-0.25,0.0,1.0,NEGATIVE
anger,cancer,1.0,-0.6597,0.0,0.0,NEGATIVE
anger,tiff,1.0,0.0,0.0,1.0,POSITIVE
anger,tighten,1.0,0.0,0.0,1.0,POSITIVE
anger,noisy,1.0,-0.1779,0.0,0.0,NEGATIVE
anger,campaigning,1.0,0.0,0.0,1.0,POSITIVE
anger,canker,1.0,0.0,0.0,1.0,NEGATIVE
anger,cannon,1.0,0.0,0.0,1.0,POSITIVE
anger,cane,1.0,0.0,0.0,1.0,NEGATIVE
anger,threat,1.0,-0.5267,0.0,1.0,NEGATIVE
anger,threaten,1.0,-0.3818,0.0,1.0,NEGATIVE
anger,threatening,1.0,-0.5267,0.0,1.0,NEGATIVE
anger,thresh,1.0,0.0,0.0,1.0,POSITIVE
anger,thump,1.0,0.0,0.0,1.0,POSITIVE
anger,noncompliance,1.0,0.0,0.0,0.0,NEGATIVE
anger,thundering,1.0,0.0,0.0,1.0,POSITIVE
anger,thug,1.0,0.0,0.0,0.0,NEGATIVE
anger,callous,1.0,0.0,0.0,0.0,NEGATIVE
anger,throttle,1.0,0.0,0.0,1.0,POSITIVE
anger,neglected,1.0,-0.5267,0.0,0.0,NEGATIVE
anger,tolerate,1.0,0.0,0.0,1.0,POSITIVE
anger,negation,1.0,0.0,0.0,1.0,NEGATIVE
anger,carelessness,1.0,-0.34,0.0,0.0,NEGATIVE
anger,nettle,1.0,0.0,0.0,1.0,NEGATIVE
anger,tirade,1.0,0.0,0.0,1.0,NEGATIVE
anger,nepotism,1.0,0.0,0.0,0.0,NEGATIVE
anger,nether,1.0,0.0,0.0,0.0,POSITIVE
anger,thrash,1.0,0.0,0.0,1.0,NEGATIVE
anger,obstacle,1.0,-0.3612,0.0,1.0,NEGATIVE
anger,terrible,1.0,-0.4767,1.0,0.0,NEGATIVE
anger,bummer,1.0,-0.3818,0.0,1.0,NEGATIVE
anger,obstructive,1.0,0.0,0.0,0.0,NEGATIVE
anger,obstruct,1.0,0.0,0.0,1.0,NEGATIVE
anger,oblivion,1.0,0.0,0.0,1.0,NEGATIVE
anger,obliterated,1.0,-0.4767,0.0,1.0,NEGATIVE
anger,obliterate,1.0,-0.5994,0.0,1.0,NEGATIVE
anger,obliging,1.0,0.0,0.0,1.0,POSITIVE
anger,burke,1.0,0.0,0.0,1.0,POSITIVE
anger,terrorism,1.0,-0.6808,0.0,0.0,NEGATIVE
anger,terrorist,1.0,-0.6908,0.0,0.0,NEGATIVE
anger,obscenity,1.0,0.0,0.0,1.0,NEGATIVE
anger,terrorize,1.0,-0.6486,0.0,0.0,NEGATIVE
anger,burial,1.0,0.0,0.0,1.0,NEGATIVE
anger,obnoxious,1.0,-0.4588,0.0,0.0,NEGATIVE
anger,odious,1.0,0.0,0.0,0.0,NEGATIVE
anger,bugaboo,1.0,0.0,0.0,1.0,NEGATIVE
anger,offender,1.0,-0.3612,0.0,1.0,NEGATIVE
anger,offended,1.0,-0.25,0.0,0.0,NEGATIVE
anger,offend,1.0,-0.296,0.0,0.0,NEGATIVE
anger,buffet,1.0,0.0,0.0,1.0,POSITIVE
anger,tension,1.0,-0.3182,0.0,1.0,NEGATIVE
anger,bully,1.0,-0.4939,0.0,0.0,NEGATIVE
anger,nuisance,1.0,0.0,0.0,0.0,NEGATIVE
anger,thief,1.0,-0.5267,0.0,0.0,NEGATIVE
anger,notoriety,1.0,0.0,0.0,1.0,POSITIVE
anger,thoughtless,1.0,-0.4588,0.0,0.0,NEGATIVE
anger,cacophony,1.0,0.0,0.0,1.0,POSITIVE
anger,cad,1.0,0.0,0.0,1.0,POSITIVE
anger,theft,1.0,0.0,0.0,1.0,NEGATIVE
anger,busted,1.0,0.0,0.0,1.0,NEGATIVE
anger,objection,1.0,0.0,0.0,1.0,NEGATIVE
anger,theocratic,1.0,0.0,0.0,1.0,POSITIVE
anger,nurture,1.0,0.34,0.0,2.0,POSITIVE
anger,butcher,1.0,0.0,0.0,1.0,NEGATIVE
anger,unlucky,1.0,0.0,0.0,0.0,NEGATIVE
anger,worthless,1.0,-0.4404,0.9,0.0,NEGATIVE
anger,wound,1.0,0.0,0.0,1.0,NEGATIVE
anger,wrangling,1.0,0.0,0.0,1.0,NEGATIVE
anger,crazed,1.0,-0.128,0.0,1.0,NEGATIVE
anger,crazy,1.0,-0.34,0.9,1.0,NEGATIVE
anger,wretch,1.0,0.0,0.0,1.0,POSITIVE
anger,wrath,1.0,0.0,0.0,1.0,NEGATIVE
anger,wreak,1.0,0.0,0.0,1.0,NEGATIVE
anger,wreck,1.0,-0.4404,0.0,0.0,NEGATIVE
anger,wrecked,1.0,0.0,0.0,0.0,NEGATIVE
anger,wring,1.0,0.0,0.0,1.0,NEGATIVE
anger,crabby,1.0,0.0,0.0,1.0,NEGATIVE
anger,cracked,1.0,0.0,0.0,1.0,NEGATIVE
anger,wop,1.0,0.0,0.0,1.0,POSITIVE
anger,words,1.0,0.0,0.0,1.0,POSITIVE
anger,cranky,1.0,0.0,0.0,0.0,NEGATIVE
anger,yelp,1.0,0.0,0.0,1.0,NEGATIVE
anger,yell,1.0,0.0,0.0,1.0,NEGATIVE
anger,crunch,1.0,0.0,0.0,1.0,NEGATIVE
anger,crusade,1.0,0.0,0.0,1.0,POSITIVE
anger,crushed,1.0,-0.4215,0.1,0.0,NEGATIVE
anger,crucifixion,1.0,0.0,0.0,1.0,NEGATIVE
anger,irritation,1.0,-0.5106,0.0,1.0,NEGATIVE
anger,cruel,1.0,-0.5859,1.0,0.0,NEGATIVE
anger,irritating,1.0,-0.4588,0.8,0.0,NEGATIVE
anger,cruelly,1.0,-0.5859,1.0,1.0,NEGATIVE
anger,irritable,1.0,-0.4767,0.0,0.0,NEGATIVE
anger,youth,1.0,0.0,0.0,1.0,POSITIVE
anger,irritability,1.0,-0.34,0.0,0.0,NEGATIVE
anger,cruelty,1.0,-0.5994,0.0,1.0,NEGATIVE
anger,jab,1.0,0.0,0.0,1.0,NEGATIVE
anger,jealousy,1.0,-0.3182,0.0,0.0,NEGATIVE
anger,jealous,1.0,-0.4588,0.0,1.0,NEGATIVE
anger,wrongdoing,1.0,0.0,0.0,0.0,NEGATIVE
anger,wrongly,1.0,0.0,0.9,1.0,NEGATIVE
anger,wrongful,1.0,0.0,0.0,0.0,NEGATIVE
anger,criminality,1.0,0.0,0.0,0.0,NEGATIVE
anger,jerk,1.0,-0.34,0.0,0.0,NEGATIVE
anger,jeopardize,1.0,0.0,0.0,1.0,NEGATIVE
anger,crime,1.0,-0.5423,0.0,0.0,NEGATIVE
anger,criminal,1.0,-0.5267,0.55,1.0,NEGATIVE
anger,cross,1.0,0.0,0.0,1.0,POSITIVE
anger,criticism,1.0,-0.4404,0.0,1.0,NEGATIVE
anger,criticize,1.0,-0.3818,0.0,1.0,NEGATIVE
anger,whip,1.0,0.0,0.0,1.0,POSITIVE
anger,lagging,1.0,-0.2732,0.0,0.0,NEGATIVE
anger,lace,1.0,0.0,0.0,1.0,NEGATIVE
anger,corrupting,1.0,0.0,0.0,1.0,NEGATIVE
anger,lash,1.0,0.0,0.0,1.0,NEGATIVE
anger,copycat,1.0,0.0,0.0,0.0,NEGATIVE
anger,wench,1.0,0.0,0.0,1.0,NEGATIVE
anger,kidnap,1.0,0.0,0.0,1.0,NEGATIVE
anger,wireless,1.0,0.0,0.0,1.0,POSITIVE
anger,kicking,1.0,0.0,0.0,1.0,POSITIVE
anger,kick,1.0,0.0,0.0,1.0,POSITIVE
anger,court,1.0,0.0,0.0,1.0,POSITIVE
anger,killing,1.0,-0.6597,0.0,1.0,NEGATIVE
anger,witch,1.0,-0.3612,0.0,1.0,NEGATIVE
anger,witchcraft,1.0,0.0,0.0,1.0,NEGATIVE
anger,counsellor,1.0,0.0,0.0,1.0,POSITIVE
anger,willful,1.0,0.0,0.0,0.0,POSITIVE
anger,coup,1.0,0.0,0.0,1.0,NEGATIVE
anger,crushing,1.0,-0.3612,0.9,1.0,NEGATIVE
anger,wimpy,1.0,-0.2263,0.0,0.0,NEGATIVE
anger,wince,1.0,0.0,0.0,1.0,NEGATIVE
anger,access,0.0572267058860071,0.0,0.0,1.0,POSITIVE
anger,flight,0.0574780884916547,0.0,0.0,1.0,POSITIVE
anger,pain,0.05754736352842299,-0.5106,0.0,1.0,NEGATIVE
anger,later,0.057561418984224004,0.0,0.0,1.0,POSITIVE
anger,convince,0.0576072958049684,0.25,0.0,1.0,POSITIVE
anger,tights,0.0576072958049684,0.0,0.0,1.0,NEGATIVE
anger,hallway,0.0576072958049684,0.0,0.0,1.0,POSITIVE
anger,stressful,0.0576072958049684,-0.5106,0.0,0.0,POSITIVE
anger,eats,0.05787307653743,0.0,0.0,1.0,POSITIVE
anger,chairs,0.0568662805802492,0.0,0.0,1.0,POSITIVE
anger,roads,0.05787307653743,0.0,0.0,1.0,POSITIVE
anger,brandon,0.0584361396153691,0.0,0.0,1.0,POSITIVE
anger,down,0.0587801894677632,0.0,0.2888888888888889,1.0,NEGATIVE
anger,sees,0.0588885259610171,0.0,0.0,1.0,POSITIVE
anger,pierced,0.0593694107983676,0.0,0.0,1.0,NEGATIVE
anger,esp,0.0593694107983676,0.0,0.0,1.0,NEGATIVE
anger,brains,0.0593694107983676,0.0,0.0,1.0,POSITIVE
anger,fishing,0.0593694107983676,0.0,0.0,1.0,POSITIVE
anger,make,0.0595124211668631,0.0,0.0,1.0,POSITIVE
anger,hes,0.060150355781439,0.0,0.0,1.0,NEGATIVE
anger,programmes,0.0584361396153691,0.0,0.0,1.0,POSITIVE
anger,buck,0.0568662805802492,0.0,0.0,1.0,POSITIVE
anger,havnt,0.0561998360370888,0.0,0.0,1.0,NEGATIVE
anger,yourselves,0.0561998360370888,0.0,0.0,1.0,POSITIVE
anger,extremely,0.0483049031426549,0.0,1.0,1.0,NEGATIVE
anger,personal,0.0489543998055912,0.0,0.3,2.0,POSITIVE
anger,cereal,0.0502217378615807,0.0,0.0,1.0,POSITIVE
anger,ordered,0.0504625856469452,0.0,0.0,1.0,POSITIVE
anger,anymore,0.0509722263612803,0.0,0.0,1.0,NEGATIVE
anger,pound,0.0510011611278511,0.0,0.0,1.0,POSITIVE
anger,eachother,0.0514642312912544,0.0,0.0,1.0,POSITIVE
anger,hour,0.0516376828033193,0.0,0.0,1.0,POSITIVE
anger,stressed,0.0526545389278965,-0.34,0.0,1.0,NEGATIVE
anger,skinny,0.0527535373935011,0.0,0.0,1.0,NEGATIVE
anger,realise,0.0531905048463793,0.0,0.0,1.0,POSITIVE
anger,throws,0.0532829647419655,0.0,0.0,1.0,POSITIVE
anger,re,0.0534255707239168,0.0,0.0,1.0,POSITIVE
anger,im,0.0535170063853211,0.0,0.0,1.0,NEGATIVE
anger,mate,0.0539304234890898,0.0,0.0,1.0,POSITIVE
anger,coke,0.05409235369752401,0.0,0.0,1.0,NEGATIVE
anger,orders,0.0545501243624189,0.0,0.0,1.0,POSITIVE
anger,belief,0.0545501243624189,0.0,0.0,1.0,POSITIVE
anger,regret,0.0545501243624189,-0.4215,0.0,0.0,NEGATIVE
anger,monster,0.0555972448769443,0.0,0.0,1.0,NEGATIVE
anger,speaker,0.0561998360370888,0.0,0.0,1.0,POSITIVE
anger,sacked,0.0604281721466099,0.0,0.0,0.0,NEGATIVE
anger,deserve,0.0481768703660893,0.0,0.0,1.0,POSITIVE
anger,nominated,0.0604281721466099,0.0,0.0,2.0,POSITIVE
anger,missing,0.0607154871895286,-0.296,0.05,1.0,NEGATIVE
anger,justsaying,0.0666105720549272,0.0,0.0,1.0,POSITIVE
anger,hid,0.0666105720549272,-0.1027,0.0,1.0,NEGATIVE
anger,notfun,0.0666105720549272,0.0,0.0,1.0,NEGATIVE
anger,slice,0.0666105720549272,0.0,0.0,1.0,POSITIVE
anger,wrong,0.0666105720549272,-0.4767,0.9,0.0,NEGATIVE
anger,derek,0.0666105720549272,0.0,0.0,1.0,POSITIVE
anger,permit,0.0666105720549272,0.0,0.0,1.0,POSITIVE
anger,muffin,0.0666105720549272,0.0,0.0,1.0,POSITIVE
anger,ceiling,0.0673375804475447,0.0,0.0,1.0,POSITIVE
anger,hamster,0.0666105720549272,0.0,0.0,1.0,NEGATIVE
anger,treadmill,0.067718605409289,0.0,0.0,1.0,POSITIVE
anger,em,0.0685504368727539,0.0,0.0,1.0,POSITIVE
anger,putting,0.0688228458041788,0.0,0.0,1.0,POSITIVE
anger,strikes,0.0689388618145185,-0.3612,0.0,1.0,POSITIVE
anger,passionate,0.0689388618145185,0.5267,0.8500000000000001,2.0,POSITIVE
anger,warn,0.0689388618145185,-0.1027,0.0,0.0,NEGATIVE
anger,satan,0.0689388618145185,0.0,0.0,1.0,NEGATIVE
anger,storage,0.0689388618145185,0.0,0.0,1.0,POSITIVE
anger,cracker,0.0689388618145185,0.0,0.0,1.0,POSITIVE
anger,restaurants,0.0689388618145185,0.0,0.0,1.0,POSITIVE
anger,determined,0.067718605409289,0.34,0.0,1.0,POSITIVE
anger,even,0.0655570162068168,0.0,0.0,1.0,POSITIVE
anger,character,0.065035148334045,0.0,0.0,1.0,POSITIVE
anger,who,0.0649693156937594,0.0,0.0,1.0,POSITIVE
anger,compare,0.0610127965420978,0.0,0.0,1.0,NEGATIVE
anger,forces,0.0616395593329069,0.0,0.0,1.0,POSITIVE
anger,projects,0.0616395593329069,0.0,0.0,1.0,POSITIVE
anger,nuggets,0.0616395593329069,0.0,0.0,1.0,POSITIVE
anger,climb,0.0616395593329069,0.0,0.0,1.0,POSITIVE
anger,do,0.0619867122767299,0.0,0.0,1.0,POSITIVE
anger,themselves,0.0628098344810971,0.0,0.0,1.0,POSITIVE
anger,crowded,0.0630391396873302,0.0,0.0,1.0,NEGATIVE
anger,height,0.0630391396873302,0.0,0.0,1.0,POSITIVE
anger,programme,0.0630391396873302,0.0,0.0,1.0,POSITIVE
anger,disagree,0.0630391396873302,-0.3818,0.0,0.0,POSITIVE
anger,word,0.0634555287672969,0.0,0.0,1.0,POSITIVE
anger,understands,0.063823761147748,0.0,0.0,1.0,POSITIVE
anger,electric,0.063823761147748,0.0,0.0,2.0,POSITIVE
anger,over,0.0639519732772659,0.0,0.0,1.0,NEGATIVE
anger,sheets,0.0640995851737691,0.0,0.0,1.0,POSITIVE
anger,grows,0.0646744630280609,0.0,0.0,2.0,POSITIVE
anger,offering,0.0646744630280609,0.0,0.0,1.0,POSITIVE
anger,writers,0.0646744630280609,0.0,0.0,1.0,POSITIVE
anger,tonights,0.0646744630280609,0.0,0.0,1.0,POSITIVE
anger,rec,0.0604281721466099,0.0,0.0,1.0,POSITIVE
anger,gawd,0.0689388618145185,0.0,0.0,1.0,NEGATIVE
anger,my,0.0475546014067158,0.0,0.0,1.0,NEGATIVE
anger,patch,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,wipes,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,proverbs,0.0436210538302285,0.0,0.0,1.0,NEGATIVE
anger,k,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,uncomfortable,0.0436210538302285,-0.3818,1.0,0.0,NEGATIVE
anger,olympics,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,love hate,0.0436210538302285,0.128,0.75,0.0,NEGATIVE
anger,dragging,0.0436210538302285,0.0,0.0,1.0,NEGATIVE
anger,laid,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,mic,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,ash,0.0436210538302285,0.0,0.0,1.0,NEGATIVE
anger,untill,0.0436210538302285,0.0,0.0,1.0,NEGATIVE
anger,thumb,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,strings,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,label,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,habit,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,impression,0.0436210538302285,0.2263,0.0,1.0,POSITIVE
anger,gps,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,rode,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,user,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,jewelry,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,film,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,getting,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,yolo,0.0436210538302285,0.2732,0.0,1.0,NEGATIVE
anger,attract,0.0436210538302285,0.3612,0.0,1.0,POSITIVE
anger,closing,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,maturity,0.0436210538302285,0.0,0.0,2.0,POSITIVE
anger,downside,0.0436210538302285,-0.25,0.0,0.0,NEGATIVE
anger,opener,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,rogers,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,theaters,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,bleh,0.0436210538302285,0.0,0.0,0.0,NEGATIVE
anger,reid,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,telephone,0.0436210538302285,0.0,0.0,1.0,POSITIVE
anger,helpless,0.0436210538302285,-0.4588,0.0,0.0,NEGATIVE
anger,creme,0.0436210538302285,0.0,0.0,1.0,NEGATIVE
